"Country","FreeMundo","FreeEco","FreePress"
"†Afghanistan","not free","mostly unfree","difficult situation"
"†Albania","partly free","moderately free","noticeable problems"
"†Algeria","not free","repressed","difficult situation"
"†Andorra","free",NA,"satisfactory situation"
"†Angola","not free","mostly unfree","noticeable problems"
"†AntiguaandBarbuda","free",NA,"satisfactory situation"
"†Argentina","free","mostly unfree","noticeable problems"
"†Armenia","partly free","mostly free","noticeable problems"
"†Australia","free","free","satisfactory situation"
"†Austria","free","mostly free","satisfactory situation"
"†Azerbaijan","not free","moderately free","very serious situation"
"†Bahamas","free","moderately free",NA
"†Bahrain","not free","moderately free","very serious situation"
"†Bangladesh","partly free","mostly unfree","difficult situation"
"†Barbados","free","moderately free",NA
"†Belarus","not free","moderately free","difficult situation"
"†Belgium","free","moderately free","good situation"
"†Belize","free","mostly unfree","noticeable problems"
"†Benin","partly free","mostly unfree","difficult situation"
"†Bhutan","partly free","moderately free","noticeable problems"
"†Bolivia","partly free","repressed","difficult situation"
"†BosniaandHerzegovina","partly free","moderately free","noticeable problems"
"†Botswana","free","moderately free","satisfactory situation"
"†Brazil","free","mostly unfree","noticeable problems"
"†Brunei","not free","moderately free","difficult situation"
"†Bulgaria","free","mostly free","difficult situation"
"†BurkinaFaso","partly free","mostly unfree","satisfactory situation"
"†Burma","not free","mostly unfree","difficult situation"
"†Burundi","not free","repressed","very serious situation"
"†Cambodia","not free","mostly unfree","difficult situation"
"†Cameroon","not free","mostly unfree","difficult situation"
"†Canada","free","mostly free","satisfactory situation"
"†CapeVerde","free","moderately free","satisfactory situation"
"†CentralAfricanRepublic","not free","mostly unfree","difficult situation"
"†Chad","not free","mostly unfree","difficult situation"
"†Chile","free","mostly free","noticeable problems"
"†China","not free","mostly unfree","very serious situation"
"†Colombia","partly free","moderately free","difficult situation"
"†Comoros","partly free","mostly unfree","noticeable problems"
"†CostaRica","free","moderately free","good situation"
"†Congo,DemocraticRepublicofthe","not free","repressed","difficult situation"
"†Congo,Republicofthe","not free","repressed","difficult situation"
"†Croatia","free","moderately free","noticeable problems"
"†Cuba","not free","repressed","very serious situation"
"†Cyprus","free","mostly free","satisfactory situation"
"†CzechRepublic","free","mostly free","satisfactory situation"
"†Denmark","free","mostly free","good situation"
"†Djibouti","not free","mostly unfree","very serious situation"
